Step,Train Loss,Validation Loss
0,0.4197394847869873,0.3366736173629761
1,0.2784808278083801,0.1960596293210983
2,0.2633357346057892,0.313062846660614
3,0.2562968134880066,0.2111602425575256
4,0.2488695830106735,0.7838366627693176
5,0.2488132417201995,0.2455765455961227
6,0.2479155212640762,0.2217266857624054
7,0.2421043366193771,0.2692615091800689
8,0.2427088618278503,0.1999270170927047
9,0.1815578341484069,0.1293883621692657
10,0.1743677854537964,0.1213074401021003
11,0.1695554703474044,0.3079787790775299
12,0.1694073379039764,0.1176833435893058
13,0.1662028580904007,0.1140178814530372
14,0.1643655449151992,0.1193225532770156
15,0.164640411734581,0.107289083302021
16,0.1634290814399719,0.1415722817182541
17,0.1625236272811889,0.1078730374574661
18,0.1622033268213272,0.8438406586647034
19,0.1335439682006836,0.0969020724296569
20,0.1310790181159973,0.083365686237812
21,0.1280412673950195,0.1444899886846542
22,0.1264431327581405,0.0910975486040115
23,0.1264217346906662,0.0802364647388458
24,0.1264224052429199,0.0987973809242248
25,0.1250983327627182,0.0867195203900337
26,0.1234641969203949,0.0856935530900955
27,0.1235590651631355,0.1172232925891876
28,0.12312863022089,0.0812431499361991
29,0.1075176373124122,0.072665549814701
30,0.105926364660263,0.0696910992264747
31,0.1059610173106193,0.0777853578329086
32,0.1032497659325599,0.0755067765712738
33,0.1034333407878875,0.0702522546052932
34,0.102715827524662,0.063923604786396
35,0.1029484346508979,0.0686447843909263
36,0.1020630672574043,0.0767184123396873
37,0.1020037531852722,0.0746196955442428
38,0.1012899577617645,0.065052643418312
39,0.0933188050985336,0.0584282800555229
40,0.0922674611210823,0.0635010004043579
41,0.0920804440975189,0.0583401173353195
42,0.0912833362817764,0.0587224289774894
43,0.0920053943991661,0.057502269744873
44,0.0912475883960723,0.0640685856342315
45,0.0897823572158813,0.0592304915189743
46,0.0916228219866752,0.0563607215881347
47,0.0896307155489921,0.0560307614505291
48,0.089688591659069,0.0580498166382312
49,0.0851800963282585,0.0548483170568943
50,0.0853639543056488,0.0543167106807231
51,0.0846794694662094,0.0531288124620914
52,0.0853068530559539,0.0521832518279552
53,0.0842114612460136,0.0541621595621109
54,0.0846605598926544,0.0527147240936756
55,0.0832490921020507,0.0536027662456035
56,0.0844371542334556,0.0523572340607643
57,0.0830514430999755,0.0501991584897041
58,0.0830309316515922,0.051947496831417
59,0.0805521830916404,0.0519055277109146
60,0.07979616522789,0.0505733154714107
61,0.0802457854151725,0.0509010851383209
62,0.0796967223286628,0.0496701188385486
63,0.0805058255791664,0.0496061220765113
64,0.0796613693237304,0.0497236251831054
65,0.079412043094635,0.0499611347913742
66,0.0790232867002487,0.052049946039915
67,0.0790577307343483,0.0488515757024288
68,0.0797131434082984,0.0487570874392986
69,0.0779960677027702,0.0488810129463672
70,0.0783470645546913,0.0489655621349811
71,0.0771955773234367,0.0480068363249301
72,0.0781463086605072,0.0485511235892772
73,0.0776432082056999,0.0494618713855743
74,0.0775878727436065,0.0474175028502941
75,0.0773854479193687,0.0471779331564903
76,0.0771390721201896,0.0474150627851486
77,0.0777436047792434,0.0482004210352897
78,0.0770472884178161,0.0481025874614715
79,0.0771402940154075,0.047610517591238
80,0.0767714455723762,0.0475138202309608
81,0.0767649412155151,0.0473795719444751
82,0.0773871019482612,0.047611303627491
83,0.0757760554552078,0.0471200160682201
84,0.0761536732316017,0.0471093468368053
85,0.0763625875115394,0.0480632856488227
86,0.0759205371141433,0.0465518049895763
87,0.0768427550792694,0.0465891622006893
88,0.0767495259642601,0.0470313392579555
89,0.0763213858008384,0.0465590618550777
90,0.0757778957486152,0.0467775389552116
91,0.0764248445630073,0.0468318834900856
92,0.0760456174612045,0.0463230684399604
93,0.0766114145517349,0.0466880053281784
94,0.075615793466568,0.0467699356377124
95,0.0763458684086799,0.0468248985707759
96,0.0756371170282363,0.046318057924509
97,0.0754516348242759,0.0464976988732814
98,0.0767367854714393,0.046458214521408
99,0.0757757425308227,0.0466157048940658
100,0.0757313966751098,0.0463943220674991
101,0.075024627149105,0.0462331213057041
102,0.075572982430458,0.0465827248990535
103,0.0760495513677597,0.0467938520014286
104,0.0744411721825599,0.0465431921184062
105,0.0747217908501625,0.0463248677551746
106,0.0741264149546623,0.0464584156870842
107,0.0751934126019477,0.0461704432964324
108,0.0751734226942062,0.0461520813405513
109,0.0756988674402237,0.0461387634277343
110,0.0753228440880775,0.0462683252990245
111,0.0759545043110847,0.0459210760891437
112,0.0743112862110138,0.0461980290710926
113,0.0756210163235664,0.04605633020401
114,0.075109951198101,0.0462665781378746
115,0.075616218149662,0.0462286211550235
116,0.0739820152521133,0.0462876670062541
117,0.0745138451457023,0.0464078672230243
118,0.0748943164944648,0.0461489707231521
119,0.0749430283904075,0.0460877008736133
120,0.0749983936548233,0.046255350112915
121,0.0756556242704391,0.0461738482117652
122,0.0754280388355255,0.0461013317108154
123,0.0751343369483947,0.0461471565067768
124,0.0748359486460685,0.0460052527487278
125,0.0751043781638145,0.046054545789957
126,0.0754812806844711,0.0461225099861621
127,0.0755787640810012,0.0460197888314724
128,0.0754857957363128,0.0460232719779014
129,0.0750600546598434,0.0460474491119384
130,0.075840801000595,0.0460337698459625
131,0.0751225426793098,0.0460865311324596
132,0.075045995414257,0.0461269542574882
133,0.0749484971165657,0.0460778102278709
134,0.075723223388195,0.0460720732808113
135,0.0750718414783477,0.0460819005966186
136,0.0753187090158462,0.0460552126169204
137,0.0741046294569969,0.0460307672619819
138,0.0759144276380539,0.0460521802306175
139,0.0747006833553314,0.046037808060646
140,0.0746629610657692,0.0460280589759349
141,0.0751924067735672,0.0460420921444892
